cliente,muy_barato,barato,caro,muy_caro
Cliente_1,15,25,33,40
Cliente_2,1,14,21,26
Cliente_3,12,20,30,38
Cliente_4,15,27,33,39
Cliente_5,10,19,26,33
Cliente_6,16,28,36,43
Cliente_7,17,25,33,42
Cliente_8,10,18,30,37
Cliente_9,10,13,19,27
Cliente_10,20,29,40,50
Cliente_11,7,13,25,32
Cliente_12,12,20,28,38
Cliente_13,21,31,40,49
Cliente_14,7,12,18,27
Cliente_15,17,26,35,43
Cliente_16,8,17,25,35
Cliente_17,9,13,24,33
Cliente_18,11,14,24,33
Cliente_19,13,21,28,37
Cliente_20,11,16,23,31
Cliente_21,18,27,37,46
Cliente_22,9,18,25,31
Cliente_23,2,9,17,24
Cliente_24,5,10,19,28
Cliente_25,16,24,32,41
Cliente_26,21,27,37,46
Cliente_27,11,16,21,26
Cliente_28,9,15,18,26
Cliente_29,14,23,33,44
Cliente_30,9,20,25,34
Cliente_31,24,34,42,53
Cliente_32,20,30,37,44
Cliente_33,15,25,36,40
Cliente_34,13,21,28,36
Cliente_35,9,17,25,34
Cliente_36,8,16,22,30
Cliente_37,7,17,27,32
Cliente_38,11,20,28,36
Cliente_39,15,24,35,44
Cliente_40,4,9,17,25
Cliente_41,25,33,41,47
Cliente_42,10,19,30,38
Cliente_43,5,10,19,27
Cliente_44,15,26,33,39
Cliente_45,23,30,40,49
Cliente_46,2,11,19,25
Cliente_47,13,19,26,37
Cliente_48,6,14,22,30
Cliente_49,14,23,28,35
Cliente_50,15,22,33,44
Cliente_51,11,17,25,35
Cliente_52,7,13,20,27
Cliente_53,4,12,20,29
Cliente_54,17,25,33,43
Cliente_55,14,21,28,36
Cliente_56,12,19,29,36
Cliente_57,8,21,32,43
Cliente_58,6,14,25,32
Cliente_59,4,11,21,30
Cliente_60,11,21,25,31
Cliente_61,22,28,38,46
Cliente_62,14,21,28,37
Cliente_63,19,27,35,44
Cliente_64,10,18,27,36
Cliente_65,11,22,30,34
Cliente_66,9,18,28,39
Cliente_67,9,15,23,29
Cliente_68,20,28,33,41
Cliente_69,19,27,34,43
Cliente_70,17,24,31,40
Cliente_71,2,12,23,31
Cliente_72,5,11,21,27
Cliente_73,7,12,23,27
Cliente_74,13,25,35,44
Cliente_75,12,16,22,29
Cliente_76,8,16,23,29
Cliente_77,3,10,19,26
Cliente_78,8,16,23,31
Cliente_79,5,10,18,27
