cliente,muy_barato,barato,caro,muy_caro
Cliente_1,75,84,100,110
Cliente_2,87,103,115,124
Cliente_3,66,68,72,90
Cliente_4,78,82,109,112
Cliente_5,60,76,86,98
Cliente_6,50,56,78,87
Cliente_7,60,69,75,95
Cliente_8,73,91,100,104
Cliente_9,63,89,95,100
Cliente_10,56,70,92,101
Cliente_11,69,71,82,84
Cliente_12,63,81,99,103
Cliente_13,74,87,106,122
Cliente_14,72,86,107,145
Cliente_15,71,80,82,91
Cliente_16,81,113,118,132
Cliente_17,74,96,110,113
Cliente_18,76,81,97,105
Cliente_19,78,80,86,109
Cliente_20,68,77,93,117
Cliente_21,51,54,58,74
Cliente_22,72,79,125,133
Cliente_23,67,81,105,106
Cliente_24,74,87,104,108
Cliente_25,72,88,94,117
Cliente_26,76,95,112,126
Cliente_27,72,75,80,90
Cliente_28,56,62,80,101
Cliente_29,66,71,92,109
Cliente_30,63,65,70,84
Cliente_31,62,67,85,93
Cliente_32,45,46,53,63
Cliente_33,72,74,87,109
Cliente_34,77,89,96,99
Cliente_35,64,91,104,113
Cliente_36,56,58,73,94
Cliente_37,73,88,92,94
Cliente_38,80,106,131,164
Cliente_39,68,80,85,91
Cliente_40,78,83,105,121
Cliente_41,59,69,82,94
Cliente_42,71,96,98,110
Cliente_43,73,84,87,98
Cliente_44,60,70,88,99
Cliente_45,63,72,82,104
Cliente_46,83,92,95,100
Cliente_47,53,57,58,74
Cliente_48,51,76,95,117
Cliente_49,65,69,106,109
Cliente_50,73,99,118,121
Cliente_51,65,68,87,104
Cliente_52,65,90,100,116
Cliente_53,74,87,91,98
Cliente_54,64,78,102,103
Cliente_55,82,86,95,104
Cliente_56,72,106,114,122
Cliente_57,63,77,104,117
Cliente_58,66,75,80,82
Cliente_59,82,103,115,117
Cliente_60,72,79,95,106
Cliente_61,80,106,116,136
Cliente_62,84,89,101,124
Cliente_63,103,106,131,157
Cliente_64,54,77,100,103
Cliente_65,78,91,110,123
Cliente_66,68,81,84,113
Cliente_67,70,76,105,119
Cliente_68,84,106,119,141
Cliente_69,76,84,98,112
Cliente_70,61,77,86,93
Cliente_71,83,87,99,103
Cliente_72,73,107,132,148
Cliente_73,41,43,47,69
Cliente_74,77,79,93,130
Cliente_75,70,94,127,148
Cliente_76,64,80,99,107
Cliente_77,71,76,87,108
Cliente_78,76,87,98,105
Cliente_79,61,78,85,91
Cliente_80,71,73,85,95
Cliente_81,77,94,122,143
Cliente_82,62,71,91,97
Cliente_83,63,71,75,92
Cliente_84,66,75,81,96
Cliente_85,66,71,84,105
Cliente_86,69,88,103,116
Cliente_87,61,77,92,113
Cliente_88,58,63,74,76
Cliente_89,57,65,78,119
Cliente_90,70,97,111,132
Cliente_91,60,67,88,98
Cliente_92,90,105,119,137
Cliente_93,67,94,105,107
Cliente_94,69,89,122,162
Cliente_95,79,96,124,146
Cliente_96,61,74,89,93
Cliente_97,74,80,84,104
Cliente_98,68,89,102,118
Cliente_99,68,70,71,95
Cliente_100,84,87,118,120
Cliente_101,73,75,88,98
Cliente_102,84,88,91,94
Cliente_103,71,79,87,110
Cliente_104,74,88,95,111
Cliente_105,52,56,66,72
Cliente_106,75,94,128,131
Cliente_107,85,98,145,157
Cliente_108,66,100,102,113
Cliente_109,63,87,94,96
Cliente_110,57,62,66,89
Cliente_111,69,93,97,102
Cliente_112,58,71,81,100
Cliente_113,66,77,80,99
Cliente_114,80,81,93,103
Cliente_115,63,69,72,82
Cliente_116,62,98,119,126
Cliente_117,78,82,128,143
Cliente_118,76,87,105,135
Cliente_119,68,81,90,91
Cliente_120,72,78,86,104
Cliente_121,73,80,92,96
Cliente_122,73,79,100,112
Cliente_123,72,79,86,89
Cliente_124,80,93,131,138
Cliente_125,77,116,120,135
Cliente_126,56,65,78,83
Cliente_127,67,85,90,108
Cliente_128,57,80,85,105
Cliente_129,66,82,87,91
Cliente_130,66,68,74,83
Cliente_131,58,98,112,118
Cliente_132,62,65,73,95
Cliente_133,70,77,88,95
Cliente_134,77,79,85,108
Cliente_135,76,107,116,122
Cliente_136,65,76,86,89
Cliente_137,75,92,97,117
Cliente_138,66,90,97,112
Cliente_139,58,62,104,127
Cliente_140,75,99,102,108
Cliente_141,60,74,81,113
Cliente_142,66,78,88,99
Cliente_143,64,79,86,96
Cliente_144,58,67,96,107
Cliente_145,52,61,75,85
Cliente_146,58,69,83,91
Cliente_147,58,81,83,87
Cliente_148,56,59,96,122
Cliente_149,69,75,88,94
Cliente_150,69,83,86,103
Cliente_151,81,84,100,103
Cliente_152,61,91,108,121
Cliente_153,77,82,84,94
Cliente_154,71,87,108,129
Cliente_155,72,87,125,128
Cliente_156,57,79,84,94
Cliente_157,68,81,93,116
Cliente_158,63,79,102,149
Cliente_159,65,71,109,113
Cliente_160,76,105,116,137
Cliente_161,65,75,95,99
Cliente_162,68,92,128,131
Cliente_163,56,81,86,102
Cliente_164,70,75,83,116
Cliente_165,57,64,75,105
Cliente_166,48,66,67,87
Cliente_167,75,81,101,115
Cliente_168,63,73,80,111
Cliente_169,68,91,96,113
Cliente_170,88,95,114,132
Cliente_171,62,67,83,94
Cliente_172,62,99,104,114
Cliente_173,51,68,82,115
Cliente_174,65,101,113,132
