cliente,muy_barato,barato,caro,muy_caro
Cliente_1,25,32,38,49
Cliente_2,31,40,50,57
Cliente_3,11,16,24,31
Cliente_4,17,23,31,38
Cliente_5,30,36,44,53
Cliente_6,31,43,49,57
Cliente_7,15,24,35,43
Cliente_8,17,27,34,46
Cliente_9,26,31,36,40
Cliente_10,17,26,33,40
Cliente_11,19,28,37,47
Cliente_12,23,31,40,48
Cliente_13,36,44,52,62
Cliente_14,30,38,49,57
Cliente_15,14,22,31,38
Cliente_16,23,29,38,47
Cliente_17,27,35,46,54
Cliente_18,22,29,36,43
Cliente_19,23,26,36,43
Cliente_20,18,30,35,42
Cliente_21,15,25,35,42
Cliente_22,18,27,34,44
Cliente_23,31,40,49,60
Cliente_24,16,26,33,43
Cliente_25,21,29,37,43
Cliente_26,6,15,25,33
Cliente_27,12,18,26,36
Cliente_28,18,26,35,43
Cliente_29,23,32,42,54
Cliente_30,22,29,39,48
Cliente_31,8,18,28,40
Cliente_32,26,36,45,47
Cliente_33,17,22,32,39
Cliente_34,28,34,44,57
Cliente_35,22,34,42,49
Cliente_36,31,38,44,51
Cliente_37,12,23,35,43
Cliente_38,17,23,32,42
Cliente_39,22,31,37,40
Cliente_40,22,31,39,47
Cliente_41,24,31,41,50
Cliente_42,25,36,43,48
Cliente_43,13,22,31,35
Cliente_44,20,29,35,43
Cliente_45,27,34,43,48
Cliente_46,19,24,31,39
Cliente_47,14,20,29,37
Cliente_48,13,21,28,37
Cliente_49,22,30,40,46
Cliente_50,25,32,43,50
Cliente_51,21,26,30,41
Cliente_52,22,34,45,51
Cliente_53,14,23,31,39
Cliente_54,20,25,33,40
Cliente_55,20,29,35,42
Cliente_56,19,25,36,43
Cliente_57,21,30,36,46
Cliente_58,16,25,32,39
Cliente_59,15,23,33,39
Cliente_60,19,28,35,42
Cliente_61,12,18,26,35
Cliente_62,16,22,29,34
Cliente_63,20,29,37,46
Cliente_64,19,25,32,39
Cliente_65,17,29,37,44
Cliente_66,27,32,43,52
Cliente_67,29,39,45,53
Cliente_68,13,22,29,34
Cliente_69,23,30,42,50
Cliente_70,29,36,44,53
Cliente_71,9,17,20,27
Cliente_72,24,32,40,49
Cliente_73,27,36,48,54
Cliente_74,9,22,27,33
Cliente_75,16,25,34,43
Cliente_76,22,28,37,42
Cliente_77,24,32,39,45
Cliente_78,31,41,51,58
Cliente_79,21,27,33,41
Cliente_80,16,25,32,40
Cliente_81,25,30,41,50
Cliente_82,16,25,36,45
Cliente_83,24,33,43,53
Cliente_84,16,21,27,34
Cliente_85,20,30,37,47
Cliente_86,36,43,54,66
Cliente_87,32,43,54,62
Cliente_88,24,32,43,50
Cliente_89,29,36,46,55
Cliente_90,29,36,42,51
Cliente_91,14,24,31,39
Cliente_92,18,25,35,40
Cliente_93,19,27,35,44
Cliente_94,2,11,19,25
Cliente_95,32,42,52,61
Cliente_96,25,35,39,47
Cliente_97,31,38,45,55
Cliente_98,27,33,43,52
Cliente_99,23,28,38,43
Cliente_100,27,39,48,59
Cliente_101,25,31,41,48
Cliente_102,21,27,34,45
Cliente_103,21,28,38,45
Cliente_104,21,30,37,45
Cliente_105,19,29,34,43
Cliente_106,16,23,32,39
Cliente_107,18,27,34,43
Cliente_108,10,17,25,32
Cliente_109,19,28,35,42
Cliente_110,21,31,38,50
Cliente_111,28,35,44,52
Cliente_112,16,23,32,43
Cliente_113,18,21,31,34
Cliente_114,17,26,33,41
Cliente_115,19,29,41,49
Cliente_116,14,22,30,41
Cliente_117,22,27,36,42
Cliente_118,18,30,39,45
Cliente_119,20,28,39,50
Cliente_120,27,34,43,54
Cliente_121,26,36,45,51
Cliente_122,20,27,40,50
Cliente_123,14,22,28,38
Cliente_124,23,36,42,53
Cliente_125,19,25,33,41
Cliente_126,20,29,36,40
Cliente_127,19,26,36,45
Cliente_128,25,32,40,46
Cliente_129,25,33,40,48
Cliente_130,16,23,31,40
Cliente_131,34,46,56,65
Cliente_132,17,25,32,37
Cliente_133,23,33,40,46
Cliente_134,14,22,32,39
Cliente_135,21,28,40,49
Cliente_136,22,32,43,51
Cliente_137,18,26,34,43
Cliente_138,21,31,38,45
Cliente_139,14,23,30,39
Cliente_140,21,28,35,40
Cliente_141,18,30,35,43
Cliente_142,16,24,34,39
Cliente_143,22,31,39,45
Cliente_144,22,32,35,49
Cliente_145,26,38,44,52
Cliente_146,19,25,31,39
Cliente_147,21,27,35,45
Cliente_148,23,31,39,48
Cliente_149,26,35,42,48
Cliente_150,17,25,32,42
Cliente_151,24,30,37,46
Cliente_152,16,25,33,42
Cliente_153,14,21,29,38
Cliente_154,22,31,38,44
Cliente_155,25,38,43,51
Cliente_156,25,32,39,48
Cliente_157,17,27,37,43
Cliente_158,24,31,36,41
Cliente_159,14,24,33,42
Cliente_160,22,33,42,46
Cliente_161,22,29,37,44
Cliente_162,15,24,36,44
Cliente_163,12,19,31,40
Cliente_164,16,26,35,42
Cliente_165,24,34,44,51
Cliente_166,13,18,27,40
Cliente_167,18,25,36,40
Cliente_168,25,34,42,48
Cliente_169,13,21,28,35
Cliente_170,21,29,35,44
Cliente_171,25,32,38,43
Cliente_172,20,31,40,48
Cliente_173,11,22,30,40
Cliente_174,30,37,45,51
Cliente_175,12,18,24,31
Cliente_176,24,32,44,56
Cliente_177,20,32,39,49
Cliente_178,21,31,36,45
Cliente_179,28,35,45,53
Cliente_180,15,25,33,41
Cliente_181,27,36,44,52
Cliente_182,21,26,34,42
Cliente_183,30,34,41,50
Cliente_184,15,24,34,43
Cliente_185,19,21,31,38
Cliente_186,15,21,27,32
Cliente_187,26,37,45,52
Cliente_188,22,30,34,45
Cliente_189,19,25,33,43
Cliente_190,21,27,36,45
Cliente_191,25,30,37,45
Cliente_192,22,31,40,46
Cliente_193,15,20,28,36
Cliente_194,22,28,31,37
Cliente_195,11,19,29,39
Cliente_196,24,28,40,49
Cliente_197,12,18,25,33
Cliente_198,25,37,44,52
Cliente_199,23,33,39,46
Cliente_200,22,26,33,38
Cliente_201,17,27,33,40
Cliente_202,23,30,35,42
Cliente_203,15,20,24,31
Cliente_204,19,28,34,41
Cliente_205,24,32,39,48
Cliente_206,19,23,30,42
Cliente_207,21,27,33,42
Cliente_208,29,36,43,55
Cliente_209,29,37,42,53
Cliente_210,16,22,30,36
Cliente_211,21,29,39,48
Cliente_212,12,17,23,30
Cliente_213,19,25,33,45
Cliente_214,27,34,42,53
Cliente_215,26,38,47,59
Cliente_216,17,23,31,38
Cliente_217,14,22,34,44
Cliente_218,24,28,37,42
Cliente_219,24,30,38,43
Cliente_220,1,9,20,28
Cliente_221,36,40,47,54
Cliente_222,21,31,40,46
Cliente_223,21,35,43,52
Cliente_224,14,26,41,52
Cliente_225,19,26,33,43
Cliente_226,21,28,38,46
Cliente_227,36,46,53,60
Cliente_228,13,20,29,40
Cliente_229,16,28,34,39
Cliente_230,20,26,31,40
Cliente_231,15,22,33,41
Cliente_232,10,19,28,35
Cliente_233,25,33,40,48
Cliente_234,24,35,44,52
Cliente_235,23,30,38,41
Cliente_236,26,32,36,44
Cliente_237,32,40,46,55
Cliente_238,16,24,35,43
Cliente_239,20,32,38,47
Cliente_240,23,33,41,48
Cliente_241,19,24,32,41
Cliente_242,27,37,45,54
Cliente_243,20,29,34,41
Cliente_244,10,16,27,33
Cliente_245,24,31,41,48
Cliente_246,19,25,30,39
Cliente_247,21,30,37,50
Cliente_248,24,33,40,47
Cliente_249,18,29,41,50
Cliente_250,27,39,50,63
Cliente_251,25,32,41,48
Cliente_252,22,32,35,41
Cliente_253,19,28,39,46
Cliente_254,20,29,37,46
Cliente_255,16,23,32,42
Cliente_256,23,30,38,47
Cliente_257,19,28,36,43
Cliente_258,15,24,30,39
Cliente_259,16,21,28,35
Cliente_260,16,22,28,39
Cliente_261,30,40,45,54
Cliente_262,13,22,32,45
Cliente_263,15,24,33,35
Cliente_264,4,9,20,26
Cliente_265,28,36,47,52
Cliente_266,19,24,33,37
Cliente_267,20,29,38,49
Cliente_268,22,31,41,48
Cliente_269,22,31,43,50
Cliente_270,27,33,44,54
Cliente_271,24,34,40,45
Cliente_272,21,31,37,45
Cliente_273,20,27,30,40
Cliente_274,15,24,32,41
Cliente_275,17,26,34,37
Cliente_276,18,29,37,41
Cliente_277,17,27,39,47
Cliente_278,7,16,24,32
Cliente_279,28,36,45,53
Cliente_280,17,26,37,47
Cliente_281,17,24,33,44
Cliente_282,24,34,39,49
Cliente_283,16,23,32,38
Cliente_284,10,20,30,35
Cliente_285,17,23,33,43
Cliente_286,16,25,34,41
Cliente_287,12,22,28,37
